PC1_1,PC2_1,PC1_2,PC2_2,PC1_3,PC2_3,PC1_4,PC2_4,PC1_5,PC2_5,PC1_6,PC2_6,PC1_7,PC2_7,PC1_8,PC2_8,PC1_9,PC2_9,PC1_10,PC2_10,PC1_11,PC2_11,PC1_12,PC2_12,PC1_13,PC2_13,PC1_14,PC2_14,PC1_15,PC2_15,PC1_16,PC2_16,PC1_17,PC2_17,PC1_18,PC2_18
-0.083013185,-0.013307274,-0.086921575,-0.022876194,-0.091155343,0.014403308,0.087257592,-0.026812467,0.078239031,-0.033866937,0.082034147,-0.012297312,0.083829643,-0.0381909,0.080370995,-0.024991703,0.093055888,-0.013456552,0.088147719,-0.015141822,0.092839637,-0.007828631,0.087052363,-0.021031963,0.084542715,0.030451444,0.080644019,-0.031709999,0.07478764,-0.008238976,0.083419902,0.029684714,-0.088966119,0.026357344,0.092235375,0.016541294
-0.090697731,-0.014094068,-0.095838856,-0.025032989,-0.100576119,0.016608269,0.095976759,-0.029073584,0.090274086,-0.039678236,0.102018452,-0.014339275,0.085552647,-0.034034895,0.087116352,-0.029271167,0.099524712,-0.004756731,0.090276792,-0.01353531,0.095392924,-0.007492767,0.095087952,-0.024615592,0.095633622,0.033619684,0.09359584,-0.038418845,0.106781662,0.043877116,0.093775358,0.042963776,-0.093872155,0.031172152,0.098898242,0.016493137
0.028830263,0.120403052,0.016838034,0.131735517,0.031564788,-0.090631262,-0.022055675,0.101212988,-0.001605651,0.119761301,-0.021132013,0.097738719,0.010546098,0.105282668,-0.014764423,0.086565722,-0.028269112,0.078175718,-0.026689039,0.136336759,-0.023677918,0.087861966,-0.016016312,0.120958419,-0.02048333,-0.049935984,0.000129133,0.103998172,-0.018196741,-0.110095322,0.008675666,-0.128378927,0.014928906,-0.117606398,-0.027408934,-0.104138828
-0.060480732,-0.004262861,-0.090104276,-0.021016418,-0.04986194,0.005021574,0.087197591,-0.024955158,0.057980434,-0.011587617,0.062894833,0.01867229,0.053806912,-0.003861142,0.089497421,-0.028220655,0.038370074,0.003020979,0.084901041,-0.015563701,0.088332459,-0.007028202,0.085192058,-0.019219374,0.061423459,0.020011234,0.065770987,-0.020455918,0.077748167,-0.009246783,0.043765249,-0.00911865,-0.087645697,0.007376727,0.072827077,0.01393668
-0.096914052,-0.015579314,-0.078273271,-0.006016363,-0.102047349,0.015761132,0.089550823,-0.02401738,0.093223569,-0.038629443,0.096376694,-0.013154396,0.08837749,-0.032745903,0.086276893,-0.02306228,0.100860978,-0.002592012,0.097056065,-0.01583377,0.099126917,-0.006892443,0.096033321,-0.021069654,0.091205167,0.033111114,0.093284809,-0.036077916,0.08688665,-0.006429314,0.098999108,0.040138296,-0.079460437,-0.021698335,0.104602971,0.017491594
-0.09307802,-0.015947514,-0.094763875,-0.027851286,-0.098330198,0.022802672,0.086332341,-0.028283853,0.085099054,-0.036990573,0.096729218,-0.012201488,0.091068774,-0.040804738,0.088066274,-0.02979297,0.09944023,-0.01472122,0.091818765,-0.014376527,0.098984151,-0.007686778,0.096374798,-0.024972688,0.093195652,0.034505277,0.090735153,-0.037124169,0.105658267,0.044497228,0.0930182,0.042242721,-0.09368739,0.027583801,0.098075684,0.014532118
-0.094181248,-0.015798366,-0.093638029,-0.016048918,-0.071497406,-0.006867605,0.066417528,-0.002633603,0.082388634,-0.030563097,0.081215161,-0.009581271,0.066135832,-0.0225578,0.027284868,0.029693122,0.104012169,-0.017052097,0.09662428,-0.016391237,-0.005222751,0.038161315,0.091307884,-0.02040853,0.011316412,-0.037515468,0.078455022,-0.025926479,0.050248824,-0.02969073,0.067664363,0.009333716,-0.093802086,0.029353869,0.033222134,-0.038493167
0.030483912,-0.020949027,0.028992222,-0.038010194,0.025628291,0.039360377,-0.035436161,-0.033257434,-0.03118324,-0.010845829,-0.03165171,-0.038763318,-0.03787592,-0.031968872,-0.035122518,-0.028911867,-0.028117244,-0.026922414,-0.030095602,-0.030347918,-0.026150772,-0.02924401,-0.032610821,-0.029940725,-0.024983624,0.006673066,-0.035414582,-0.024946104,-0.032045516,0.031789175,-0.036687452,0.023209311,0.03223495,0.032408687,-0.028383348,0.022303017
0.025244769,0.143908124,0.016570884,0.1503882,0.021863161,-0.148234949,-0.021970814,0.098576084,0.003368448,0.130996024,-0.033508864,0.130302128,0.011912128,0.136873616,-0.001213003,0.132038793,-0.028282726,0.147578919,-0.027148206,0.090208233,-0.034383628,0.130039867,-0.013082548,0.146015664,-0.007730756,-0.136376482,-0.001190057,0.108443521,-0.014598021,-0.122613793,0.005995404,-0.110923974,0.020652318,-0.123415146,-0.022060475,-0.141288294
-0.076832014,-0.007868442,-0.084607007,-0.021195751,-0.054738401,-0.017652215,0.020479225,0.026524337,0.08691593,-0.037227134,0.081264442,-0.008161339,0.042235194,0.007176523,0.090525023,-0.030478274,0.083621955,-0.004096498,0.066910424,0.003361971,0.013090001,0.0310427,0.092674612,-0.019382486,0.0202784,-0.027083325,0.048071286,0.019732735,0.013345684,-0.05096555,0.045768491,-0.006482999,-0.02561177,-0.061957118,0.010146149,-0.048797008
